없는 취급을 하는 사회는 잘못된 것 아닐까요 시간이 걸리더라도 고쳐나갔으면 좋겠습니다 그 사람의 있는 그대로를 인정하고 존중하는 게 공동체윤리고 시민의식이라 생각합니다,긍정,0.37659636,,,
아주 중요한 지적이라고 생각한다n정치권에서 새겨들어야 할 내요미다,부정,0.97925365,,,
자연을 보호합시다우리 후손들에게 최대한 온전한 상태로 물려줘야 합니다,긍정,0.40012974,,,
다보내줘 그리고 저개발국가 아프리카 특히 케냐 이디오피아 이곳에 더 보내줘 우리의 형제 국가여,긍정,0.40906015,,,
사용내역서 공개만 하면 끝입니다 일반 기업은 영업기밀 등이 있어 민감할 수 있는 사항이지만 기금 모아서 활동하는 단체는 그렇지않죠 만약 민감할 수 있다는 기밀이 있다면 그건 개인사용일 확률이 높습니다 일반기업은 기업의 개별노하우로 수익이 들어오지만 기금은 국민이 주주나 마찬가지입니다 국민의 돈이 의혹이 있다면 밝히라 할 권리는 국민에게 있습니다 정의연의 주주는 국민이고 최대활동은 할머니들에 대한 지원입니다,부정,0.78320295,,,
박정희  시진핑 거의 일치한다고 보면됨,부정,0.51923019,,,
한동훈검사님 응원합니다 그리고 용기에 힘찬 격려의박수를보냅니다깜도 안되는것들이 완장을 차니 참 꼴불견이지요임명한자나 뒤에서 거드는 간신배들 다 한통속인거 민심은 언제나 정의롭습니다곧 새날이오면 새로운 역사가 펼쳐지겠죠,부정,0.96629971,,,
기후 변화 문제가 정말 크다 알면서 일상이 바빠서 외면하는데 작은것 부터 환경보호 하는 생활을 반드시 해야한다 선택아닌 필수다,중립,0.96898246,,,
아래 내용에 한점의 거짓이나 덧붙임이 없음을 하느님과 호모 사피엔스의 모든 영혼 안에서 확인합니다 202010301914,긍정,0.44177717,,,
4대강 정비는 한반도사에서 꼭 해야하는 사업으로서 앞으로도 지속적으로 해야한다 4대강과 지류를 잘 정비해나가면 해마다 피해도 줄어들 것이며 나중에는 국가와 국민들에게도 엄청난 부가가치를 안겨줄 것이다 바닥도 더 깊이 파야하고 둑도 튼튼히 해야한다 지류에서 유입되는 오폐수도 차단하고 정화 시스템을 더 많이 만들어야 한다 보도 때에 맞게 물관리를 할 수 있도록 시설을 갖추어 운용해야 한다 수질이 좋은 우리 물을 잘 활용하면 앞으로 석유만큼의 부가가치를 갖게 될 것이다 앞으로 홍수와 가뭄이 더 심해질 것이다,긍정,0.45517659,,,
조국 화이팅계속 고소하세요 벌금 많이 물리세요,긍정,0.99325728,,,
